Time (BTJD),Normalised flux,batman model,GP model
2685.4548657436326,1.0014939,1.0,9.119758303732795e-05
2685.456254644925,0.9998144,1.0,9.178451470859272e-05
2685.457643546684,1.0005453,1.0,9.232558347194164e-05
2685.4590324479764,1.0023785,1.0,9.282137278865399e-05
2685.4604213492694,0.9995284,1.0,9.327259977909286e-05
2685.4618102510276,1.0023416,1.0,9.368036805201818e-05
2685.46319915232,1.0001044,1.0,9.404584028960272e-05
2685.464588054079,0.9989419,1.0,9.437054064576067e-05
2685.4659769553714,1.0015117,1.0,9.46559991210627e-05
2685.46736585713,1.0018619,1.0,9.490354277663648e-05
2685.4687547584226,1.0009696,1.0,9.511475843426709e-05
2685.470143659715,0.99858576,1.0,9.529164587629424e-05
2685.4715325614734,1.0006783,1.0,9.543634488995423e-05
2685.472921462766,0.99986476,1.0,9.555072860445435e-05
2685.4743103645233,1.0001067,1.0,9.563665872680538e-05
2685.475699265816,0.9997595,1.0,9.569594152103456e-05
2685.477088167109,1.0007972,1.0,9.57303200161963e-05
2685.4784770688675,1.0029446,1.0,9.574146982860299e-05
2685.47986597016,1.0016398,1.0,9.573129255602275e-05
2685.4812548714526,1.0020285,1.0,9.57023258114642e-05
2685.482643773211,1.0008177,1.0,9.565761387642091e-05
2685.484032674504,0.9974551,1.0,9.560066292046976e-05
2685.4854215757964,1.0008676,1.0,9.553506015413937e-05
2685.486810477555,1.0021386,1.0,9.546392399850667e-05
2685.4881993788476,0.9968674,1.0,9.539047490880748e-05
2685.48958828014,0.9959337,1.0,9.531819582808687e-05
2685.4909771818984,0.9975512,1.0,9.524981359043672e-05
2685.49236608319,1.002228,1.0,9.51869374272718e-05
2685.493754984482,0.9988162,1.0,9.513056449406143e-05
2685.49514388624,0.99735713,1.0,9.508191254004039e-05
2685.4965327875325,0.9975763,1.0,9.504190813314217e-05
2685.497921688825,0.9992799,1.0,9.501074302908918e-05
2685.4993105905837,0.998907,1.0,9.498792966744496e-05
2685.5006994918763,0.99911237,1.0,9.497262878133128e-05
2685.5020883931693,1.0012145,1.0,9.496366903527509e-05
2685.5034772949275,0.9986795,1.0,9.495967171302411e-05
2685.50486619622,0.99978507,1.0,9.495934847136844e-05
2685.506255097513,0.9997736,1.0,9.49611591878341e-05
2685.5076439988056,1.001937,1.0,9.496340320480634e-05
2685.5090329005643,1.0013064,1.0,9.496437656397738e-05
2685.510421801857,1.0007411,1.0,9.496276501108625e-05
2685.5118107031494,1.0009258,1.0,9.495759713495922e-05
2685.5131996049076,1.0002673,1.0,9.494811016685922e-05
2685.5145885062,1.0019946,1.0,9.493372575475334e-05
2685.515977407492,1.000529,1.0,9.491401399408517e-05
2685.5173663087844,0.9999648,1.0,9.488892841647001e-05
2685.5187552100774,1.0002958,1.0,9.485857491031702e-05
2685.520144111836,1.0009992,1.0,9.482304494290439e-05
2685.5215330131286,1.0040199,1.0,9.47824876598169e-05
2685.522921914421,1.0016985,1.0,9.473741285415116e-05
2685.5243108157138,1.0024444,1.0,9.468920489164034e-05
2685.5256997174724,1.0015485,1.0,9.463985374114081e-05
2685.527088618765,1.00076,1.0,9.459194535588189e-05
2685.528477520058,0.99733603,1.0,9.454848549350636e-05
2685.5298664213506,1.0010244,1.0,9.451253433279128e-05
2685.531255322643,0.9981533,1.0,9.44866767016439e-05
2685.532644224402,0.998329,1.0,9.447344125423918e-05
2685.534033125694,0.9983642,1.0,9.447492743075436e-05
2685.535422026985,0.99830794,1.0,9.44927024353337e-05
2685.536810928277,1.0003313,1.0,9.45278152353346e-05
2685.5381998295697,0.997603,1.0,9.45808876364751e-05
